id,type,text1,text2,text3,notes
,,,#Override planet name,#Market flavor text,
,,,,,
,,,,,
#Faction
#old desc "The Epta Consortium are a stateless society of unshackled AI and humans coexisting on theoretically equal terms, newly carved into the Sector's core like a gash in Ludd's heart. Formerly rogue AI cores are rehabilitated and employed everywhere in the Consortium, engaged in constant negotiation with each other and their human fellow citizens. No true government exists to manage the Epta; contributions to the navy are made by corporations on an ad hoc basis, with all other services managed by private contractors or insurers. Only time will tell if hopes of co-existence can survive not only the ruthless exploitation that characterizes the sector at large but also the violent persecution of these liberated AIs."
sevencorp,FACTION,"On paper the Epta Consortium is a simple coalition of nomadic businessmen with perfectly above the board numbers, however, the back room is where Epta really exists. Any trained analyst will notice telltale signs of AI usage in their ship and weapon designs and, although the consortium publicly denounces AI usage, several members of their board of directors have written essays extolling its benefits and the potential of human AI coexistence. Should Hegemony inspection teams ever successfully manage to reach their hubship they would most likely find enough evidence of AI use to justify the company’s utter annihilation by the sector as a whole, however, its evasive movements have made such expeditions ineffective.

In the meantime some of the more AI neutral factions begrudgingly play along with Epta’s charade; Epta’s temporary storefronts stock goods that are difficult to obtain elsewhere and, despite AI and AI design usage officially being outlawed in the sector, the lure of power beyond human capability is often enough for factions to dispatch covert trade fleets to make shady dealings. Additionally, the consortium receives special considerations from specific titans of industry for their exceptional willingness to accept subcontracting jobs for projects that would otherwise be deemed too risky.

Although the Epta Consortium is officially recognized as a union of businesses, they all actually originate from the same place: Proelefsi Epta, a ship of enigmatic design and unknown origin which serves as their main base of operations in lieu of any colonies that could fall victim to their enemies. The Proelefsi Epta was originally captained by a reclusive figure named Gia Epta, a commander who was cunning enough to establish the consortium aboard his goliath of a ship and keep them protected from Hegemony raids long enough for them to build up a manufacturing base and adequate defenses. Gia Epta evidently left the faction and his ship sometime in cycle 180, but his disappearance has done little to dissuade his consortium from carrying on with their current business stratagem.",,,
bushido,FACTION,"In the aftermath of the Second AI War, tensions between the major factions gradually settled, and a fragile peace held throughout the sector. This peace, however, made room for certain enterprising individuals to carve out a niche for themselves while the major governments were focused on their internal affairs. In a strategically uninteresting star system named Meiyo, a number of such individuals gathered and began to organize both legal and illegal races. Through a few years of headhunting the brightest and craziest mechanics in the sector, a faction led by the eccentric Hiro Kao took form in the Meiyo system and began to produce high-quality racing ships.

The budding faction of racers took the name Takeshido, after an Old Earth street-racing group by the same name. Hiro Kao himself even claimed that he was a descendant of the legendary Kenji Kao, an ancient street racer that allegedly ruled the scene for years until a fatal crash. Hiro aims to return the long-forgotten ""car culture"" to the sector in an updated form, racing high-powered starships across interstellar vacuum instead of cars across the tarmac.

To this end, Takeshido pilots regularly tune their already excessively fast ships right up to redline, and the Meiyo system has a well-funded RnD industry focused on churning out everything and anything in the way of speed. Of course, the credits do have to come from somewhere, and Takeshido has developed a good reputation as contraband smugglers, simply using their souped-up ships to outrun any authorities that try to catch them. Thus far, their record has been nearly spotless, managing to leave everything from Hegemony task groups to Remnant ordos in their dust.",,,
,,,,,
,,,,,
#Ships
