name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,Column 45,Column 46,Column 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Real Car Customs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancia 037,takeshido_037,Hypercar,Takeshido,ammofeed,4.86,520,100,420,,84,16,,167,24,72,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,20123,5,12,2300,0.25,4.86,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.35,tuner_builtin:supercharger_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo",,0.4,1,4,,,,
Lancia Stratos,takeshido_stratos,Hypercar,Takeshido,ammofeed,4.82,520,100,420,,84,16,,167,23,69,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,19714,5,12,2300,0.25,4.82,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.27,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Lancia Delta S4,takeshido_lancia_delta_s4,Hypercar,Takeshido,ammofeed,4.99,520,100,420,,84,16,,174,26,78,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,21492,5,12,2300,0.25,4.99,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.66,tuner_builtin:turbo_stage4,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
Aston Martin DB5,takeshido_db5,Sportscar,Takeshido,ammofeed,2.45,480,100,320,,64,16,,163,11,33,70,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,4106,5,12,2000,0.25,2.45,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=2.52,tuner_builtin:engine_balance,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Lamborghini Miura,takeshido_miura,Supercar,Takeshido,ammofeed,4.58,550,100,450,,90,16,,202,13,39,93,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,17374,5,12,2200,0.25,4.58,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.31,tuner_builtin:engine_balance,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Lamborghini Aventador,takeshido_aventador,Hypercar,Takeshido,ammofeed,6.03,600,100,600,,120,16,,219,22,66,83,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,34743,5,12,2400,0.25,6.03,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.42,tuner_builtin:engine_tune_stage3,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Ford RS200,takeshido_rs200,Hypercar,Takeshido,ammofeed,4.95,520,100,420,,84,16,,171,25,75,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,21064,5,12,2300,0.25,4.95,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.57,tuner_builtin:turbo_stage4,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_builtin:transmission_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:supercharger",,0.4,1,4,,,,
