id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Takeshido,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takeshido_camirillo_fighter,takeshido_camirillo_fighter_standard,"bomber, bomber3, bushido",0,,15,18,V,3000,1200,0,1,BOMBER,Fighter,25,7000,,,,,,,,,,,,,
takeshido_350x_fighter,takeshido_350x_fighter_standard,"bomber, bomber4, bushido",1,,11,12,CLAW,0,1000,0,1,SUPPORT,Fighter,15,5000,,,,,,,,,,,,,
takeshido_BR97_fighter,takeshido_BR97_fighter_standard,"fighter, fighter3, bushido",0,,6,8,V,3000,500,0,1,FIGHTER,Fighter,15,4000,,,,,,,,,,,,,
takeshido_NMW_G3_fighter,takeshido_NMW_G3_fighter_standard,"interceptor, interceptor3, bushido",0,,10,12,V,3000,500,0,1,INTERCEPTOR,Fighter,15,7000,,,,,,,,,,,,,
takeshido_vroomicorn_fighter,takeshidovroomicorn_fighter_standard,"fighter, fighter4, bushido",2,,17,17,V,3000,500,0,1,FIGHTER,Fighter,15,6000,,,,,,,,,,,,,
takeshido_hobi_fighter,takeshido_hobi_fighter_standard,"fighter, fighter1, bushido",0,,4,5,V,2000,500,0,1,FIGHTER,Fighter,8,2000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TAKESHIDO_SINGLES,#deliberately not tagged to avoid random spawn of single fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
takeshido_camirillo_fighter_single,takeshido_camirillo_fighter_standard,"no_drop, no_sell, restricted",0,,5,5,V,3000,1200,0,1,BOMBER,Fighter,0,2000,,,,,,,,,,,,,
takeshido_350x_fighter_single,takeshido_350x_fighter_standard,"no_drop, no_sell, restricted",1,,4,4,CLAW,0,1000,0,1,INTERCEPTOR,Fighter,0,1500,,,,,,,,,,,,,
takeshido_BR97_fighter_single,takeshido_BR97_fighter_standard,"no_drop, no_sell, restricted",0,,5,5,V,3000,500,0,1,FIGHTER,Fighter,0,1500,,,,,,,,,,,,,
takeshido_NMW_G3_fighter_single,takeshido_NMW_G3_fighter_standard,"no_drop, no_sell, restricted",0,,4,4,V,3000,500,0,1,INTERCEPTOR,Fighter,0,2000,,,,,,,,,,,,,
takeshido_vroomicorn_fighter_single,takeshido_vroomicorn_fighter_standard,"no_drop, no_sell, restricted",2,,5,5,V,3000,500,0,1,FIGHTER,Fighter,0,1500,,,,,,,,,,,,,
takeshido_hobi_fighter_single,takeshido_hobi_fighter_standard,"no_drop, no_sell, restricted",0,,2,2,V,2000,500,0,1,FIGHTER,Fighter,0,750,,,,,,,,,,,,,
