id,type,text1,text2,text3,notes
,,,#Override planet name,#Market flavor text,
,,,,,
,,,,,
#Faction
takeshido,FACTION,"In the aftermath of the Second AI War, tensions between the major factions gradually settled, and a fragile peace held throughout the sector. This peace, however, made room for certain enterprising individuals to carve out a niche for themselves while the major governments were focused on their internal affairs. In a strategically uninteresting star system named Meiyo, a number of such individuals gathered and began to organize both legal and illegal races. Through a few years of headhunting the brightest and craziest mechanics in the sector, a faction led by the eccentric Hiro Kao took form in the Meiyo system and began to produce high-quality racing ships.

The budding faction of racers took the name Takeshido, after an Old Earth street-racing group by the same name. Hiro Kao himself even claimed that he was a descendant of the legendary Kenji Kao, an ancient street racer that allegedly ruled the scene for years until a fatal crash. Hiro aims to return the long-forgotten ""car culture"" to the sector in an updated form, racing high-powered starships across interstellar vacuum instead of cars across the tarmac.

To this end, Takeshido pilots regularly tune their already excessively fast ships right up to redline, and the Meiyo system has a well-funded RnD industry focused on churning out everything and anything in the way of speed. Of course, the credits do have to come from somewhere, and Takeshido has developed a good reputation as contraband smugglers, simply using their souped-up ships to outrun any authorities that try to catch them. Thus far, their record has been nearly spotless, managing to leave everything from Hegemony task groups to Remnant ordos in their dust.",,,
,,,,,
takeshido_hobi_custom,SHIP,"Although the Hobi had humble beginnings as an everyday Old Earth civilian vehicle, it quickly became a favorite among street racers for its simple but hardy frame, which easily accommodates extensive additions, as well as its legendary 3kX engine which could withstand the worst of the ill-advised modifications that its owners subjected them to. In the common era, Takeshido pilots regularly field modified Hobis as makeshift fighters and bombers, and Takeshido fleets often keep at least one hypermodified Hobi around as a testbed for experimental engine upgrades.",,,
takeshido_camirillo_custom,SHIP,"In its heyday, the Camirillo line of cars were the envy of young adult men everywhere, revered for their high power, stunning looks, and everlasting reliability. Unfortunately, a plethora of new legislation to protect the environment resulted in the Camirillo line being put out of production, but that didn't stop those who had them from gleefully continuing their generous contribution to Earth's already-immense pollution issues. Nowadays, surviving Camirillos and painstakingly reproduced replicas are the envy of Takeshido engineers; their vast engine bays and several times redundant structural components make them ideal for interstellar retrofits and mounting explosive ordnance, though their relative weight makes them somewhat more sluggish than other Takeshido customs.",,,
takeshido_350x_custom,SHIP,"The original profile of the 350x was designed to assist with its aerodynamics, but its designers had no idea how much of a boon this would prove to be in the vehicle's future. Its unique body design meant that the 350x was one of the first vehicles that were retrofitted with the advent of hovering cars, and when the next wave of interstellar retrofits came about, the 350x was once again among the forerunners. Its wings were initially vestiges from the first round of retrofits, but now they greatly enhance suborbital maneuverability while housing some extra ordnance, despite greatly adding to the bulk of the improvised strikecraft.",,,
takeshido_bionda_custom,SHIP,"Drug kingpins, A-list actors, international arms dealers, corrupt politicians, supermodels, and overpaid beachside cops were the target demographic for the infamous Bionda, a true masterclass in form. Fiera's commitment to the finer things in life meant that the Bionda instantly became a status symbol for all of the most charismatic characters of its time and beyond. Its legendary style alone makes it the envy of any fleet commander with taste, to say nothing of its superbly engineered retrofits.",,,
